numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07872;20220201071000;1355.000000;mq;mq;265.950000;261.760000;72;mq;mq;mq;mq;mq;mq;/;/;/;mq;263.150000;mq;266.750000;mq;0.400000;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07909;20220210073000;1700.000000;0;0.000000;274.450000;264.370000;47;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.350000;mq;286.350000;1.200000;0.000000;-99;768.000000;3100.000000;mq;268.450000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;3;3;mq;mq;mq;
07911;20220210071500;1636.000000;0;0.000000;274.650000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.050000;mq;280.250000;1.220000;0.000000;-99;768.000000;3100.000000;mq;267.750000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;3;mq;mq;mq;
07939;20220210071500;1860.000000;0;0.000000;271.250000;264.300000;59;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.150000;mq;283.150000;0.380000;0.000000;-99;768.000000;3100.000000;mq;265.550000;mq;0;0;0;mq;mq;mq;mq;1;310;2.000000;0.480000;0.000000;mq;7;7;mq;mq;mq;
07966;20220210071000;1000.000000;0;0.000000;278.550000;269.220000;51;0;0;0;0;0;mq;0;0;0;0.000000;mq;278.350000;mq;291.850000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07881;20220210074000;2550.000000;0;2.000000;272.050000;251.900000;20;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.050000;mq;279.950000;1.790000;0.000000;-99;768.000000;3100.000000;mq;262.550000;mq;0;0;0;mq;mq;mq;mq;2;220;5.000000;mq;mq;mq;3;3;mq;1;240.000000;
07920;20220210080000;1720.000000;0;0.000000;274.750000;261.950000;38;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.750000;mq;284.050000;0.500000;0.000000;-99;768.000000;3100.000000;mq;270.550000;mq;0;0;0;mq;mq;mq;mq;2;0;0.000000;1.050000;0.000000;mq;2;3;mq;1;220.000000;
07959;20220210074000;1860.000000;180;7.000000;mq;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;mq;mq;mq;0.850000;0.000000;-99;768.000000;3100.000000;mq;269.250000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;7;mq;2;mq;
07970;20220210074500;1789.000000;0;0.000000;275.850000;263.900000;41;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.450000;mq;275.950000;0.800000;0.000000;-99;768.000000;3100.000000;mq;264.350000;mq;0;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;6;mq;1;300.000000;
07861;20220210073000;1635.000000;180;1.000000;274.350000;261.910000;39;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.850000;mq;286.350000;1.100000;0.000000;-99;768.000000;3100.000000;mq;267.150000;mq;0;mq;0;mq;mq;mq;mq;2;180;7.000000;1.250000;0.000000;mq;7;6;mq;2;mq;
07392;20220210070000;1036.000000;90;1.000000;281.150000;276.800000;74;0;0;0;1;mq;mq;0;0;2;0.000000;mq;mq;mq;mq;0.180000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07393;20220210081000;2196.000000;270;2.000000;270.050000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;mq;mq;mq;0.960000;0.000000;-99;768.000000;3100.000000;mq;267.550000;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07566;20220210073000;1830.000000;0;0.000000;268.850000;252.180000;26;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.850000;mq;279.450000;1.100000;0.000000;-99;768.000000;3100.000000;mq;266.550000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;3;3;mq;mq;mq;
07863;20220210083500;1960.000000;0;0.000000;272.150000;261.710000;45;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.450000;mq;279.150000;0.800000;0.000000;-99;768.000000;3100.000000;mq;269.350000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;3;mq;2;mq;
07885;20220210080700;1603.000000;0;0.000000;277.750000;263.950000;36;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.450000;mq;285.650000;0.840000;0.000000;-99;768.000000;3100.000000;mq;269.650000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;7;3;mq;2;200.000000;
07889;20220210080000;1800.000000;0;0.000000;272.550000;259.970000;38;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.950000;mq;283.750000;0.500000;0.000000;-99;768.000000;3100.000000;mq;268.150000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;2;7;mq;mq;mq;
07892;20220210073000;1700.000000;0;0.000000;265.750000;263.510000;84;0;0;0;0;0;mq;0;0;0;0.000000;mq;265.350000;mq;283.450000;1.000000;0.000000;-99;768.000000;3100.000000;mq;262.750000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;8;3;mq;2;mq;
07893;20220210080000;1780.000000;0;0.000000;272.150000;263.030000;50;0;0;0;0;0;mq;0;0;0;0.000000;mq;270.550000;mq;280.050000;1.090000;0.000000;-99;768.000000;3100.000000;mq;266.550000;mq;0;0;0;mq;mq;mq;mq;3;0;0.000000;1.450000;0.000000;mq;8;3;mq;1;160.000000;
07894;20220210072500;1350.000000;220;2.000000;274.650000;264.550000;47;0;0;0;0;0;mq;0;0;0;0.000000;mq;270.650000;mq;282.350000;0.560000;0.000000;-99;768.000000;3100.000000;mq;270.350000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;9;mq;2;mq;
07901;20220210070000;1867.000000;0;0.000000;274.950000;259.190000;30;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.950000;mq;286.050000;1.100000;0.000000;-99;768.000000;3100.000000;mq;268.650000;mq;0;0;0;mq;mq;mq;mq;3;360;6.000000;1.950000;0.000000;mq;6;4;mq;2;mq;
07907;20220210082000;1585.000000;0;0.000000;277.850000;264.390000;37;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.550000;mq;286.550000;0.690000;0.000000;-99;768.000000;3100.000000;mq;267.350000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;3;7;mq;2;mq;
07919;20220210082000;2130.000000;0;0.000000;275.750000;261.810000;35;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.550000;mq;279.850000;0.490000;0.000000;-99;768.000000;3100.000000;mq;269.950000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;7;mq;2;mq;
07921;20220210081300;1680.000000;0;0.000000;274.450000;262.320000;40;0;0;0;0;0;mq;0;0;0;0.000000;mq;270.850000;mq;281.150000;0.340000;0.000000;-99;768.000000;3100.000000;mq;268.150000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;0.000000;mq;7;4;mq;mq;mq;
07923;20220210081800;1895.000000;40;2.000000;272.550000;260.910000;41;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.550000;mq;281.850000;0.400000;0.000000;-99;768.000000;3100.000000;mq;268.750000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;5;mq;2;mq;
07926;20220210082000;2185.000000;0;0.000000;274.250000;256.850000;26;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.550000;mq;285.450000;0.800000;0.000000;-99;768.000000;3100.000000;mq;267.350000;mq;0;0;0;mq;mq;mq;mq;1;180;1.000000;0.590000;0.000000;mq;3;3;mq;1;200.000000;
07942;20220210080000;1910.000000;0;0.000000;275.550000;258.870000;28;0;0;0;0;0;mq;0;0;0;0.000000;mq;275.550000;mq;282.150000;0.280000;0.000000;-99;768.000000;3100.000000;mq;267.050000;mq;0;0;0;mq;mq;mq;mq;1;270;4.000000;mq;mq;mq;7;5;mq;2;mq;
07950;20220210082500;1590.000000;180;2.000000;276.150000;264.480000;42;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.850000;mq;286.150000;0.520000;0.000000;-99;768.000000;3100.000000;mq;270.750000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;7;mq;2;mq;
07952;20220210081500;1840.000000;180;2.000000;274.850000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;mq;mq;mq;1.800000;0.000000;-99;768.000000;3100.000000;mq;268.150000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;6;mq;mq;mq;
07960;20220210080000;1590.000000;130;2.000000;275.750000;264.420000;43;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.450000;mq;284.650000;0.430000;0.000000;-99;768.000000;3100.000000;mq;269.850000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;7;mq;2;mq;
07964;20220210083000;2020.000000;0;0.000000;271.650000;263.780000;55;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.150000;mq;280.250000;1.150000;0.000000;-99;768.000000;3100.000000;mq;267.050000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;3;mq;2;mq;
07969;20220210081000;1763.000000;0;0.000000;275.550000;265.380000;47;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.950000;mq;286.350000;0.800000;0.000000;-99;768.000000;3100.000000;mq;266.150000;mq;0;0;0;mq;mq;mq;mq;1;0;0.000000;1.600000;0.000000;mq;3;4;mq;2;mq;
07973;20220210081500;1472.000000;180;7.000000;276.550000;266.840000;49;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.250000;mq;285.050000;0.600000;0.000000;-99;768.000000;3100.000000;mq;272.850000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6;6;mq;1;440.000000;
07977;20220210081500;2087.000000;180;4.000000;269.750000;261.770000;54;0;0;0;0;0;mq;0;0;0;0.000000;mq;269.450000;mq;278.350000;0.900000;0.000000;-99;768.000000;3100.000000;mq;267.050000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;3;mq;2;mq;
07575;20220210083000;2134.000000;270;1.000000;278.350000;260.850000;27;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.050000;mq;284.050000;0.570000;0.000000;-99;768.000000;3100.000000;mq;269.050000;mq;0;0;0;mq;mq;mq;mq;1;270;4.000000;0.640000;0.000000;mq;7;4;mq;2;mq;
07596;20220210085000;1717.000000;0;0.000000;280.350000;261.100000;24;0;0;0;0;0;mq;0;0;0;0.000000;mq;275.150000;mq;285.650000;0.270000;0.000000;-99;768.000000;3100.000000;mq;269.550000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;7;mq;2;mq;
07811;20220210080000;2350.000000;310;3.000000;272.650000;252.970000;21;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.650000;mq;284.250000;0.600000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07875;20220210080000;1860.000000;360;5.000000;278.150000;262.810000;32;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.150000;mq;280.150000;1.160000;0.000000;-99;768.000000;3100.000000;mq;265.150000;mq;0;0;0;mq;mq;mq;mq;2;360;6.000000;mq;mq;mq;7;4;mq;1;220.000000;
07876;20220210083000;1270.000000;0;0.000000;274.050000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;mq;mq;mq;0.720000;0.000000;-99;768.000000;3100.000000;mq;270.050000;mq;0;0;0;mq;mq;mq;mq;3;220;2.000000;mq;mq;mq;1;2;mq;mq;mq;
07887;20220210083000;1500.000000;0;0.000000;275.050000;264.070000;44;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.350000;mq;283.450000;0.850000;0.000000;-99;768.000000;3100.000000;mq;268.050000;mq;0;0;0;mq;mq;mq;mq;3;270;2.000000;1.350000;0.000000;mq;3;3;mq;1;180.000000;
07903;20220210083300;1400.000000;0;0.000000;275.050000;266.720000;54;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.050000;mq;284.650000;0.350000;0.000000;-99;768.000000;3100.000000;mq;270.950000;mq;0;0;mq;mq;mq;mq;mq;mq;0;0.000000;0.400000;0.000000;mq;7;4;mq;1;240.000000;
07928;20220210083000;1530.000000;220;2.000000;278.650000;264.020000;34;0;0;0;0;0;mq;0;0;0;0.000000;mq;276.650000;mq;285.650000;0.870000;0.000000;-99;768.000000;3100.000000;mq;270.850000;mq;0;0;0;mq;mq;mq;mq;2;220;6.000000;1.030000;0.000000;mq;7;3;mq;1;200.000000;
07929;20220210083500;1855.000000;0;0.000000;277.650000;253.200000;15;0;0;0;0;0;mq;0;0;0;0.000000;mq;275.550000;mq;284.250000;0.700000;0.000000;-99;768.000000;3100.000000;mq;264.750000;mq;0;0;0;mq;mq;mq;mq;1;180;4.000000;mq;mq;mq;5;4;mq;1;200.000000;
07965;20220210085000;1460.000000;0;0.000000;278.450000;266.870000;43;0;0;0;0;0;mq;0;0;0;0.000000;mq;275.950000;mq;288.950000;0.280000;0.000000;-99;768.000000;3100.000000;mq;269.150000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;6;mq;1;440.000000;
07968;20220210084000;1569.000000;0;0.000000;279.850000;267.830000;42;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.550000;mq;287.450000;0.300000;0.000000;-99;768.000000;3100.000000;mq;272.950000;mq;0;0;0;mq;mq;mq;mq;1;0;0.000000;1.480000;0.000000;mq;6;7;mq;mq;mq;
07974;20220210090000;1500.000000;0;0.000000;273.550000;264.580000;51;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.950000;mq;286.250000;0.800000;0.000000;-99;768.000000;3100.000000;mq;270.550000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;6;mq;mq;mq;
07877;20220210090000;1642.000000;130;2.000000;277.450000;256.430000;20;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.050000;mq;284.650000;0.690000;0.000000;-99;768.000000;3100.000000;mq;269.750000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;3;3;mq;2;mq;
07927;20220210090000;2100.000000;0;0.000000;277.250000;255.010000;18;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.450000;mq;283.650000;0.380000;0.000000;-99;768.000000;3100.000000;mq;269.650000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;5;mq;2;mq;
07953;20220210083500;1800.000000;0;0.000000;274.650000;262.180000;39;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.150000;mq;281.950000;0.910000;0.000000;-99;768.000000;3100.000000;mq;266.750000;mq;0;0;0;mq;mq;mq;mq;1;0;0.000000;mq;0.000000;mq;5;7;mq;1;mq;
07955;20220210084000;1840.000000;270;3.000000;272.650000;262.440000;46;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.550000;mq;280.750000;0.970000;0.000000;-99;768.000000;3100.000000;mq;267.750000;mq;0;0;0;mq;mq;mq;mq;1;270;1.000000;1.700000;0.000000;mq;5;7;mq;mq;mq;
07957;20220210085500;1740.000000;0;0.000000;275.450000;262.900000;39;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.950000;mq;282.650000;1.400000;0.000000;-99;768.000000;3100.000000;mq;269.650000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;2;7;mq;2;mq;
07972;20220210085000;1715.000000;220;2.000000;mq;mq;mq;0;0;0;1;mq;mq;/;/;/;mq;mq;mq;mq;mq;mq;mq;mq;768.000000;mq;mq;272.150000;mq;0;9;0;mq;mq;mq;mq;1;220;2.000000;0.000000;0.000000;mq;7;7;mq;2;110.000000;
07818;20220210090000;1254.000000;220;2.000000;279.150000;269.510000;50;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.550000;mq;284.550000;0.450000;0.000000;-99;768.000000;3100.000000;mq;267.350000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;4;mq;1;240.000000;
07886;20220210083000;1710.000000;0;0.000000;275.850000;266.190000;49;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.250000;mq;287.250000;0.550000;0.000000;-99;768.000000;3100.000000;mq;266.150000;mq;0;0;0;mq;mq;mq;mq;2;0;0.000000;mq;mq;mq;3;3;mq;2;mq;
07935;20220210091000;2140.000000;0;0.000000;279.650000;261.010000;25;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.050000;mq;286.750000;0.150000;0.000000;-99;768.000000;3100.000000;mq;269.750000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07943;20220210093000;1650.000000;220;2.000000;277.850000;267.210000;46;0;0;0;3;0;8000;0;0;2;0.000000;mq;274.150000;mq;282.650000;0.300000;0.000000;-99;768.000000;3100.000000;mq;273.050000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;6;mq;mq;mq;
07858;20220210084500;1768.000000;0;0.000000;276.550000;263.220000;37;0;0;0;1;1;3500;0;3;0;mq;mq;269.650000;mq;283.450000;1.300000;0.000000;-99;768.000000;3100.000000;mq;265.950000;mq;0;0;4;mq;mq;mq;mq;3;270;7.000000;2.100000;0.000000;mq;3;3;mq;1;200.000000;
07902;20220210080000;2022.000000;0;0.000000;273.650000;260.630000;37;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.550000;mq;285.450000;1.400000;0.000000;-99;768.000000;3100.000000;mq;267.150000;mq;0;0;0;mq;mq;mq;mq;2;0;0.000000;mq;mq;mq;2;1;mq;2;mq;
07925;20220210072800;1905.000000;0;0.000000;273.550000;258.370000;31;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.350000;mq;284.050000;0.400000;0.000000;-99;768.000000;3100.000000;mq;268.950000;mq;0;0;0;mq;mq;mq;mq;1;0;0.000000;0.500000;0.000000;mq;5;7;mq;2;mq;
07936;20220210080000;2020.000000;310;7.000000;273.650000;259.220000;33;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.150000;mq;284.850000;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07940;20220210090000;1900.000000;0;0.000000;278.850000;260.330000;25;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.450000;mq;285.250000;0.190000;0.000000;-99;768.000000;3100.000000;mq;267.150000;mq;0;0;0;mq;mq;mq;mq;1;130;3.000000;mq;mq;mq;7;5;mq;2;mq;
07567;20220210093000;2101.000000;0;0.000000;271.150000;260.790000;45;0;0;0;0;0;mq;0;0;0;0.000000;mq;270.550000;mq;282.750000;1.040000;0.000000;-99;768.000000;3100.000000;mq;266.950000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;3;3;mq;2;mq;
07730;20220210100000;1468.000000;0;0.000000;276.850000;267.900000;52;0;0;0;0;0;mq;0;0;0;0.000000;mq;276.350000;mq;281.950000;0.500000;0.000000;-99;768.000000;3100.000000;mq;270.950000;mq;0;0;0;mq;mq;mq;mq;1;0;0.000000;0.900000;0.000000;mq;7;6;mq;2;mq;
07815;20220210083000;2356.000000;360;2.000000;274.350000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;mq;mq;mq;1.170000;0.000000;-99;768.000000;3100.000000;mq;267.050000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;3;3;mq;1;200.000000;
07890;20220210090000;2208.000000;270;1.000000;273.850000;256.040000;25;0;0;0;0;0;mq;0;0;0;0.000000;mq;270.350000;mq;282.350000;1.100000;0.000000;-99;768.000000;3100.000000;mq;265.650000;mq;0;0;0;mq;mq;mq;mq;3;270;4.000000;mq;mq;mq;3;2;mq;2;mq;
07916;20220210100000;1594.000000;270;2.000000;278.350000;266.470000;42;0;0;0;0;0;mq;0;0;0;0.000000;mq;270.650000;mq;283.250000;0.630000;0.000000;-99;768.000000;3100.000000;mq;268.850000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;6;2;mq;2;mq;
07981;20220210084000;2108.000000;360;2.000000;278.750000;265.190000;37;0;0;0;0;0;mq;0;0;0;mq;mq;271.250000;mq;281.950000;0.650000;0.000000;-99;768.000000;3100.000000;mq;267.250000;mq;0;mq;0;mq;mq;mq;mq;1;360;2.000000;mq;mq;mq;6;3;mq;mq;mq;
07891;20220210090000;1209.000000;0;0.000000;278.350000;265.510000;39;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.950000;mq;280.750000;0.850000;0.000000;-99;768.000000;3100.000000;mq;269.050000;mq;0;0;0;mq;mq;mq;mq;3;0;0.000000;1.700000;0.000000;mq;8;2;mq;mq;mq;
07922;20220210083000;2295.000000;0;0.000000;271.350000;256.040000;30;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.350000;mq;281.550000;0.600000;0.000000;-99;768.000000;3100.000000;mq;264.150000;mq;0;0;0;mq;mq;mq;mq;3;130;2.000000;mq;mq;mq;3;4;mq;2;mq;
07878;20220210090000;1600.000000;310;2.000000;279.950000;262.690000;28;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.650000;mq;284.750000;0.440000;0.000000;-99;768.000000;3100.000000;mq;269.950000;mq;0;0;0;mq;mq;mq;mq;1;310;3.000000;mq;mq;mq;7;6;mq;2;mq;
07926;20220210124000;2185.000000;0;0.000000;279.150000;262.440000;29;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.800000;0.000000;-50;750.000000;3100.000000;mq;269.550000;mq;0;0;0;mq;mq;mq;mq;1;40;3.000000;0.580000;0.000000;mq;3;3;mq;1;200.000000;
07927;20220210123500;2100.000000;0;0.000000;278.550000;256.090000;18;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.380000;0.000000;-50;750.000000;3100.000000;mq;273.150000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;5;mq;2;mq;
07590;20220210124500;1270.000000;0;0.000000;283.850000;266.070000;28;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.190000;0.000000;-50;750.000000;3100.000000;mq;272.450000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07939;20220210125000;1860.000000;0;0.000000;279.950000;266.260000;37;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.380000;0.000000;-50;750.000000;3100.000000;mq;270.550000;mq;0;0;0;mq;mq;mq;mq;1;310;5.000000;0.480000;0.000000;mq;6;6;mq;mq;mq;
07582;20220210082000;1350.000000;0;0.000000;275.050000;266.720000;54;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.150000;mq;281.150000;0.620000;0.000000;-99;768.000000;3100.000000;mq;268.250000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;2;mq;2;mq;
07875;20220210124500;1860.000000;360;3.000000;276.250000;264.260000;41;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;1.160000;0.000000;-50;750.000000;3100.000000;mq;272.550000;mq;0;0;0;mq;mq;mq;mq;2;40;9.000000;mq;mq;mq;6;4;mq;1;180.000000;
07881;20220210123000;2550.000000;0;0.000000;275.150000;258.950000;29;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;1.790000;0.000000;-50;750.000000;3100.000000;mq;265.750000;mq;0;0;0;mq;mq;mq;mq;2;220;5.000000;mq;mq;mq;3;3;mq;1;240.000000;
07885;20220210125300;1603.000000;220;2.000000;278.350000;264.830000;37;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.840000;0.000000;-50;750.000000;3100.000000;mq;272.950000;mq;0;mq;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;6;3;mq;1;220.000000;
07892;20220210124500;1700.000000;0;0.000000;278.850000;264.930000;36;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.990000;0.000000;-50;750.000000;3100.000000;mq;271.350000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;8;3;mq;2;mq;
07895;20220210122000;1970.000000;0;0.000000;277.650000;263.500000;35;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;1.100000;0.000000;-50;750.000000;3100.000000;mq;267.550000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;2;mq;1;220.000000;
07909;20220210123000;1700.000000;0;0.000000;281.950000;266.150000;32;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;1.200000;0.000000;-50;750.000000;3100.000000;mq;270.250000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;3;3;mq;mq;mq;
07921;20220210131100;1680.000000;0;0.000000;279.750000;263.810000;31;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.340000;0.000000;-50;750.000000;3100.000000;mq;270.450000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;0.000000;mq;7;4;mq;mq;mq;
07929;20220210130000;1855.000000;180;4.000000;276.650000;261.090000;31;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.700000;0.000000;-50;750.000000;3100.000000;mq;266.750000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;5;4;mq;1;200.000000;
07931;20220210112000;1665.000000;360;2.000000;282.550000;263.500000;25;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.050000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;0;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;7;mq;mq;mq;
07942;20220210120000;1910.000000;0;0.000000;279.850000;260.150000;23;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.280000;0.000000;-50;750.000000;3100.000000;mq;270.050000;mq;0;0;0;mq;mq;mq;mq;1;270;4.000000;mq;mq;mq;7;5;mq;2;mq;
07976;20220210083000;1530.000000;270;2.000000;277.250000;266.080000;44;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.150000;mq;285.750000;0.150000;0.000000;-99;768.000000;3100.000000;mq;268.350000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6;6;mq;mq;mq;
07976;20220210124500;1530.000000;0;0.000000;284.050000;267.140000;30;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.150000;0.000000;-50;750.000000;3100.000000;mq;273.050000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6;6;mq;1;440.000000;
07981;20220210115100;2108.000000;40;2.000000;280.450000;265.990000;35;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.650000;0.000000;-50;750.000000;3100.000000;mq;267.950000;mq;0;mq;0;mq;mq;mq;mq;1;40;2.000000;mq;mq;mq;6;3;mq;mq;mq;
